91.247.36.169:8443#BG [247.56ms 0.48Mbps]
213.232.235.54:8443#RO [247.83ms 0.48Mbps]
31.13.248.113:8443#BG [247.98ms 4.30Mbps]
104.18.91.10:443#GB [248.67ms 0.20Mbps]
172.65.90.44:443#RU [248.80ms 0.16Mbps]
104.17.232.82:443#US [248.86ms 1.94Mbps]
104.17.226.67:443#US [249.26ms 0.65Mbps]
91.247.37.14:443#BG [249.43ms 0.24Mbps]
188.164.248.199:443#US [249.49ms 1.33Mbps]
146.70.37.253:443#FR [249.52ms 3.03Mbps]
5.45.115.162:2083#EE [250.11ms 1.55Mbps]
104.25.202.151:443#US [250.17ms 0.54Mbps]
89.127.196.14:443#CH [250.57ms 1.44Mbps]
188.213.5.74:443#ES [250.69ms 0.41Mbps]
104.17.255.226:443#US [251.31ms 1.46Mbps]
176.10.119.35:443#CH [251.37ms 0.36Mbps]
104.26.4.29:443#US [251.46ms 0.94Mbps]
104.20.58.66:443#DE [251.73ms 2.87Mbps]
31.57.109.126:8443#FR [251.92ms 1.03Mbps]
104.18.11.139:443#US [252.48ms 2.22Mbps]
65.109.59.167:2096#FI [252.70ms 0.37Mbps]
104.18.11.43:443#US [253.23ms 0.69Mbps]
31.56.228.151:443#FR [253.31ms 2.01Mbps]
172.67.98.220:443#US [253.32ms 1.20Mbps]
104.18.4.49:443#US [253.54ms 2.61Mbps]
193.142.58.147:2087#RO [253.77ms 0.78Mbps]
199.68.196.67:443#CH [253.97ms 1.19Mbps]
168.138.176.180:443#SG [254.73ms 1.21Mbps]
116.212.73.46:443#ID [254.98ms 0.19Mbps]
165.245.176.192:443#SG [255.19ms 0.39Mbps]
35.42.169.95:443#ES [255.30ms 0.29Mbps]
92.113.148.239:8443#DK [255.95ms 3.59Mbps]
104.26.10.76:443#US [256.12ms 1.03Mbps]
80.211.238.227:443#IT [256.24ms 0.19Mbps]
104.18.6.186:443#US [256.24ms 2.21Mbps]
152.53.112.170:2053#AT [256.33ms 0.90Mbps]
104.17.248.162:443#US [256.59ms 1.98Mbps]
91.242.163.179:2053#SK [257.24ms 0.37Mbps]
172.67.171.254:443#US [257.91ms 0.16Mbps]
217.182.79.55:443#PL [257.92ms 0.28Mbps]
104.17.230.95:443#US [258.13ms 0.74Mbps]
195.88.89.92:8443#DK [258.38ms 1.12Mbps]
104.20.49.25:443#DE [258.75ms 3.64Mbps]
152.114.195.163:8443#ES [258.90ms 0.47Mbps]
104.20.49.125:443#DE [258.92ms 2.21Mbps]
104.17.245.203:443#US [259.61ms 1.28Mbps]
104.20.57.114:443#DE [259.84ms 1.09Mbps]
172.67.170.41:443#US [259.99ms 0.19Mbps]
104.24.62.10:443#US [260.16ms 0.19Mbps]
104.18.8.140:443#US [260.17ms 0.45Mbps]
45.43.76.184:2053#LT [260.21ms 0.40Mbps]
16.171.11.113:8443#SE [260.74ms 0.40Mbps]
209.97.162.112:443#SG [260.99ms 0.18Mbps]
104.21.22.58:443#US [261.29ms 2.06Mbps]
45.12.68.99:8443#SE [261.32ms 0.42Mbps]
37.27.90.102:2053#FI [261.50ms 0.32Mbps]
62.182.196.230:8443#SE [261.51ms 0.46Mbps]
89.185.82.188:443#IT [262.12ms 0.35Mbps]
132.243.206.187:8443#SE [262.62ms 0.45Mbps]
194.154.29.72:443#CH [262.88ms 0.87Mbps]
185.80.129.84:443#LT [263.06ms 9.72Mbps]
104.17.231.166:443#US [263.20ms 1.52Mbps]
104.20.52.230:443#DE [263.25ms 0.64Mbps]
